timeframe,short,long,sharpe_gross,sortino_gross,sharpe_net,max_dd_gross,num_trades,win_rate,total_return_gross
15min,30,60,1.3809,2.3676,0.8529,-1.9084,798,54.26,27.7436
30min,10,50,1.0317,1.4719,0.5489,-2.5427,733,54.43,21.9354
30min,8,30,0.9819,1.5462,0.4287,-4.503,1100,49.45,31.0955
15min,20,60,0.9422,1.5419,0.3515,-4.1181,1002,48.3,21.1589
15min,10,30,0.9256,1.4714,0.1703,-7.9406,2016,47.32,39.3459
30min,10,30,0.8958,1.3499,0.331,-4.8618,1005,50.25,24.0586
30min,5,30,0.8622,1.4226,0.2296,-10.3492,1363,47.84,31.4876
15min,30,90,0.8618,1.3176,0.3635,-2.6469,676,52.66,14.181
15min,5,20,0.8475,1.4149,-0.0934,-10.5898,3545,43.89,64.4539
15min,15,50,0.8332,1.34,0.1946,-7.2992,1271,48.31,22.4392
15min,10,50,0.817,1.2932,0.1898,-7.8355,1478,47.63,27.3978
15min,8,30,0.7579,1.1539,-0.024,-11.1883,2267,45.7,35.37
15min,5,30,0.7443,1.1337,-0.1422,-11.4158,2837,44.48,42.0183
15min,20,50,0.7217,1.0532,0.158,-5.3543,1098,49.45,18.1105
30min,15,50,0.6264,0.8566,0.1773,-3.0536,635,53.07,11.1853
30min,30,90,0.5289,0.6681,0.2143,-1.6176,306,56.21,5.9904
30min,5,20,0.5075,0.7663,-0.1594,-12.0481,1673,46.86,20.9343
30min,30,60,0.3205,0.4202,-0.0612,-3.7989,397,50.38,3.8292
30min,20,60,0.0877,0.1176,-0.3231,-6.1505,514,49.22,1.1973
30min,20,50,0.0374,0.0478,-0.3417,-4.4273,551,50.09,0.4918
